,Cluster,location_name,country,continent
0,0,Lusaka,Zambia,Africa
1,0,Mbabane,Eswatini,Africa
2,0,Maseru,Lesotho,Africa
3,0,Maputo,Mozambique,Africa
4,0,Manama,Bahrain,Asia
5,0,Madrid,Spain,Europe
6,0,Yerevan,Armenia,Asia
7,0,Luanda,Angola,Africa
8,0,Lom,Bulgaria,Europe
9,0,Lisbon,Portugal,Europe
10,0,Lilongwe,Malawi,Africa
11,0,Kyiv,Ukraine,Europe
12,0,Mogadishu,Somalia,Africa
13,0,Kuwait City,Kuwait,Asia
14,0,Kigali,Rwanda,Africa
15,0,Khartoum,Sudan,Africa
16,0,Kabul,Afghanistan,Asia
17,0,Juba,Sudan,Africa
18,0,Jerusalem,Israel,Asia
19,0,Ivory,Madagascar,Africa
20,0,Islamabad,Pakistan,Asia
21,0,Harare,Zimbabwe,Africa
22,0,Gaborone,Botswana,Africa
23,0,Dushanbe,Tajikistan,Asia
24,0,Doha,Qatar,Asia
25,0,Kinshasa,Democratic Republic of the Congo,Africa
26,0,Moscow,Russia,Europe
27,0,Muscat,Oman,Asia
28,0,N'djamena,Chad,Africa
29,0,Yaren,Türkiye,Asia
30,0,Windhoek,Namibia,Africa
31,0,Warsaw,Poland,Europe
32,0,Vienna,Austria,Europe
33,0,Vatican City,Italy,Europe
34,0,Valletta,Malta,Europe
35,0,Tunis,Tunisia,Africa
36,0,Tirana,Albania,Europe
37,0,Tehran,Iran,Asia
38,0,Tbilisi,Georgia,Asia
39,0,Tashkent,Uzbekistan,Asia
40,0,Sofia,Bulgaria,Europe
41,0,Skopje,North Macedonia,Europe
42,0,Sarajevo,Bosnia and Herzegovina,Europe
43,0,Sanaa,Yemen,Asia
44,0,San Marino,San Marino,Europe
45,0,Rome,Italy,Europe
46,0,Riyadh,Saudi Arabia,Asia
47,0,Rabat,Morocco,Africa
48,0,Pretoria,South Africa,Africa
49,0,Podgorica,Montenegro,Europe
50,0,Ouagadougou,Burkina Faso,Africa
51,0,Nouakchott,Mauritania,Africa
52,0,Nicosia,Cyprus,Asia
53,0,Niamey,Niger,Africa
